task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,virtual_expert_replicates,virtual_expert_support_fraction,virtual_expert_min_support_prefixes,virtual_expert_full_support_weight,virtual_expert_subbag_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
regression,example_selector_screen,,helpdesk,1,natural,4,13,,,,20,145,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,0.2545056661504725,0.31749968876364093,0.2074188446822518,0.3126275843932183,-0.02133695087346399,-0.035150080550041984,-0.02133695087346399,-0.07890178562597439,0.4,0.2708495520312211,learned_transform_ensemble,4,dynamic
classification,example_selector_screen,main,helpdesk,1,natural,16,44,fm_structured_mix,balanced,1.0,20,145,3,0.5,0.75,0.5,0.9862068965517241,6.213793103448276,2.786206896551724,0.6428928520206411,1,1.0,1,1.0,1.0,0.7103448275862069,0.323992673992674,0.21132478632478632,0.34844155844155844,0.31493831128251826,0.42857142857142855,0.9862068965517241,0.6984126984126985,0.9777777777777779,0.4619230769230769,1.2242609812983047,0.44471488711674634,0.10060279954111376,0.15994666938821955,,,,,,,,,,,,,
regression,example_selector_screen,,helpdesk,1,natural,16,44,,,,20,145,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,0.2371919201999871,0.3034268115243058,0.18134102385579354,0.2913598670367886,0.048143500248640336,0.010731980199672031,0.048143500248640336,0.014621207722323115,0.7379310344827587,0.6382557782633551,learned_transform_ensemble,4,dynamic
classification,example_selector_screen,main,helpdesk,1,natural,64,185,fm_structured_mix,balanced,1.0,20,145,3,0.5,0.75,0.5,1.0,25.83448275862069,2.9034482758620688,0.701226634098494,1,1.0,1,1.0,1.0,0.6482758620689655,0.3505738705738705,0.24233618233618226,0.33565364130148184,0.34128678339204654,0.42857142857142855,1.0,0.6825396825396826,0.6825396825396826,0.5225494505494506,0.9684534813491664,0.4472973894633329,0.08032043102921992,0.1736589468963698,,,,,,,,,,,,,
regression,example_selector_screen,,helpdesk,1,natural,64,185,,,,20,145,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,0.22813698261706677,0.27798593221484236,0.18661259172586142,0.2802370370181199,0.08448116801522587,0.09367734738729105,0.08448116801522576,0.17293252712438711,0.8137931034482758,0.7397524532572977,learned_transform_ensemble,4,dynamic
classification,example_selector_screen,main,helpdesk,1,natural,128,348,fm_structured_mix,balanced,1.0,20,145,3,0.5,0.75,0.5,1.0,51.234482758620686,2.9448275862068964,0.7107372708902354,1,1.0,1,1.0,1.0,0.7103448275862069,0.38059829059829065,0.2773646723646724,0.37039746716296584,0.3746980023092921,0.42857142857142855,1.0,0.8234432234432234,0.8234432234432234,0.47011007911936703,0.9559464387880923,0.43694283754185526,0.039670641498068315,0.1639860249787455,,,,,,,,,,,,,
regression,example_selector_screen,,helpdesk,1,natural,128,348,,,,20,145,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,0.2172391713533907,0.2705625379345582,0.18379026358070405,0.26685047293069425,0.1282143292276634,0.11787997642643755,0.1282143292276633,0.21651509750833653,0.7655172413793103,0.7003814881217891,learned_transform_ensemble,4,dynamic
classification,example_selector_screen,main,receipt,0,natural,1,4,fm_structured_mix,balanced,1.0,20,244,3,0.5,0.75,0.5,0.8073770491803278,0.8073770491803278,2.05327868852459,0.4036885245901639,1,1.0,1,1.0,1.0,0.5368852459016393,0.14291866028708133,0.09530303030303029,0.14733113776175977,0.1249354477604436,0.7894736842105263,0.7950819672131147,0.21052631578947367,1.0,0.6788636363636363,6.30843630612035,0.6988811189122569,0.25862414721844695,0.5163799719943444,,,,,,,,,,,,,
regression,example_selector_screen,,receipt,0,natural,1,4,,,,20,244,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,52.955140444168244,152.99457513972683,1.3846001324768884,1.0024898411317058,-0.0030167753958785237,0.001850443996393225,-0.0030167753958785237,-0.1298850232497446,0.5245901639344263,1.3549071339371264,learned_transform_ensemble,4,dynamic
classification,example_selector_screen,main,receipt,0,natural,4,16,fm_structured_mix,balanced,1.0,20,244,3,0.5,0.75,0.5,0.8073770491803278,2.5737704918032787,2.180327868852459,0.5160031225604995,1,1.0,1,1.0,1.0,0.7336065573770492,0.21309409888357256,0.16937710437710435,0.19550666909783118,0.2012482691721174,0.7368421052631579,0.8565573770491803,0.2631578947368421,1.0,0.8097575757575758,4.572633269729376,0.4685697213655376,0.09256518716744074,0.30781557039543633,,,,,,,,,,,,,
