task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours
regression,08_gamma0,,billing,0,natural,64,255,,,,50,208,,,,,,,,,,,,,,,982.8817519082496,602.5906667860668,0.7705531843174741,0.10168429768540488,0.10168429768540499,0.27371367147837566,0.9278846153846154,5344.390031879589
classification,08_gamma0,main,billing,0,natural,128,514,configured,balanced,1.0,5,208,0.8701923076923077,0.3842714932126697,0.31585721468074407,0.3483553324070565,0.3653041659813435,0.6,0.9711538461538461,0.48039215686274506,0.6004901960784315,0.6452059052059053,2.5374958670955645,0.22631451995486335,0.05903304482881843,0.038218939478234966,,,,,,,,
classification,08_gamma0,main,billing,0,natural,128,514,configured,balanced,1.0,20,208,0.8317307692307693,0.36583257918552037,0.295369532428356,0.33589123998606757,0.34880071652485445,0.6,0.9711538461538461,0.5333333333333333,0.6666666666666667,0.5226179702650291,2.3600706280236325,0.24562060820960363,0.060771754871194184,0.0572943541245186,,,,,,,,
classification,08_gamma0,main,billing,0,natural,128,514,configured,balanced,1.0,50,208,0.8269230769230769,0.36312217194570134,0.292357968828557,0.3375185479597244,0.34700846507532324,0.6,0.9711538461538461,0.6333333333333333,0.7916666666666667,0.5187459599224306,1.9646465782293396,0.25843273716000004,0.06970104775749722,0.04917251524551544,,,,,,,,
classification,08_gamma0,main,billing,0,natural,128,514,configured,natural,1.0,5,208,0.8701923076923077,0.3842714932126697,0.31585721468074407,0.34660042562584936,0.36439218459766404,0.6,0.9711538461538461,0.48039215686274506,0.6004901960784315,0.6452059052059053,2.5270922213516247,0.2238045790772339,0.08211794624534939,0.03663653488946698,,,,,,,,
classification,08_gamma0,main,billing,0,natural,128,514,configured,natural,1.0,20,208,0.8365384615384616,0.3677556561085973,0.29750628456510814,0.33669800194088934,0.3504528782486052,0.6,0.9711538461538461,0.5333333333333333,0.6666666666666667,0.525365223012282,2.371682699131373,0.24904548427197104,0.08110430091619489,0.05334029440296117,,,,,,,,
classification,08_gamma0,main,billing,0,natural,128,514,configured,natural,1.0,50,208,0.8269230769230769,0.36312217194570134,0.292357968828557,0.3375185479597244,0.34700846507532324,0.6,0.9711538461538461,0.6333333333333333,0.7916666666666667,0.5187459599224306,1.9990338088534427,0.26439107077432233,0.08482979825482917,0.05519111661227031,,,,,,,,
regression,08_gamma0,,billing,0,natural,128,514,,,,50,208,,,,,,,,,,,,,,,964.6341414274209,574.6875243662125,0.7562475424283163,0.11836190411448322,0.11836190411448333,0.13813548639482298,0.9086538461538461,4295.216841016403
classification,08_gamma0,main,billing,0,class_aware,1,21,configured,balanced,1.0,5,208,0.14423076923076922,0.08823529411764705,-0.013071895424836616,0.024390243902439025,0.038216560509554146,0.9,0.9615384615384616,0.33274811463046755,0.47535444947209643,0.16666666666666666,18.183056243343806,0.9984878988755496,0.3888134137512399,0.6246907162561921,,,,,,,,
classification,08_gamma0,main,billing,0,class_aware,1,21,configured,balanced,1.0,20,208,0.14423076923076922,0.08823529411764705,-0.013071895424836616,0.022556390977443608,0.03592814371257485,0.9,0.9615384615384616,0.7,1.0,0.12605042016806722,3.284182113318056,0.8757345414856302,0.24316081017828906,0.6140926230119126,,,,,,,,
classification,08_gamma0,main,billing,0,class_aware,1,21,configured,balanced,1.0,50,208,0.14423076923076922,0.08823529411764705,-0.013071895424836616,0.0196078431372549,0.03208556149732621,0.9,0.9615384615384616,0.7,1.0,0.12605042016806722,3.298763398617674,0.881113099374073,0.23777246639992183,0.6140926230119126,,,,,,,,
classification,08_gamma0,main,billing,0,class_aware,1,21,configured,natural,1.0,5,208,0.14423076923076922,0.08823529411764705,-0.013071895424836616,0.022727272727272728,0.03614457831325301,0.9,0.9615384615384616,0.33274811463046755,0.47535444947209643,0.16666666666666666,18.20442697850958,1.023365965079647,0.4324929368897126,0.6253997418001366,,,,,,,,
classification,08_gamma0,main,billing,0,class_aware,1,21,configured,natural,1.0,20,208,0.14903846153846154,0.09117647058823529,-0.009803921568627463,0.018674698795180723,0.031,0.9,0.9615384615384616,0.7,1.0,0.13025210084033614,3.402888832914585,0.9136852293593161,0.27848537954000324,0.6133726061917352,,,,,,,,
classification,08_gamma0,main,billing,0,class_aware,1,21,configured,natural,1.0,50,208,0.14903846153846154,0.09117647058823529,-0.009803921568627463,0.01675675675675676,0.02831050228310502,0.9,0.9615384615384616,0.7,1.0,0.13025210084033614,3.4211334387805112,0.9201449910208489,0.26883429682885224,0.6130111653807332,,,,,,,,
