task,experiment,log,repetition,support_scenario,case_budget,support_prefixes,n_queries,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,nll,macro_retrieval_given_pool,macro_decision_given_retrieval,multiclass_brier,ece_10,aurc
classification,baseline_lstm_class_weighted_ce,billing,0,class_aware,16,226,208,0.5961538461538461,0.5553891402714932,0.5059879336349925,0.6520855614973262,0.5375364059934531,0.2,1.0,1.7279803738744783,1.0,0.5553891402714932,0.6927262083498668,0.379054678317446,0.4908237167682999
classification,baseline_lstm_balanced_softmax,billing,0,class_aware,16,226,208,0.8413461538461539,0.6325384615384616,0.5917094017094018,0.6317045388165197,0.6171129970139871,0.3,1.0,1.2213771046804887,1.0,0.6325384615384616,0.4997190883283593,0.5120216676105673,0.1041074504756958
classification,baseline_weighted_logistic,billing,0,class_aware,16,226,208,0.5913461538461539,0.581180995475113,0.5346455505279034,0.6672308546059933,0.5214564313574214,0.1,1.0,1.1761117571604625,1.0,0.581180995475113,0.4602804300912311,0.16684870517027228,0.23172784734403087
classification,baseline_random_forest,billing,0,class_aware,16,226,208,0.6778846153846154,0.6668521870286577,0.6298357633651752,0.7766550970302357,0.6290898772024394,0.0,1.0,1.235121396261889,1.0,0.6668521870286577,0.34138040865384617,0.09367788461538464,0.19433847212274966
classification,baseline_gaussian_nb,billing,0,class_aware,16,226,208,0.3173076923076923,0.5057692307692307,0.45085470085470086,0.3709652574580432,0.30843045843045847,0.3,1.0,15.23412394693589,1.0,0.5057692307692307,0.9560529290717146,0.6589735784531142,0.7135407806284934
classification,baseline_tabpfn,billing,0,class_aware,16,226,208,0.8509615384615384,0.6658717948717949,0.6287464387464389,0.7317045388165198,0.6671129970139871,0.2,1.0,0.5752505015574155,1.0,0.6658717948717949,0.21878164804311215,0.17162439396910353,0.046270298821286845
classification,baseline_lstm_natural_ce,billing,0,class_aware,32,440,208,0.9423076923076923,0.7024102564102563,0.6693447293447293,0.7317045388165198,0.6899516470371031,0.2,1.0,0.6272038426252146,1.0,0.7024102564102563,0.23608753844586283,0.31510465248272973,0.034839091382785604
classification,baseline_lstm_logit_adjustment,billing,0,class_aware,32,440,208,0.7115384615384616,0.610102564102564,0.5667806267806267,0.7317045388165198,0.6018316117326018,0.2,1.0,1.0400160754637642,1.0,0.610102564102564,0.4150393653680012,0.4333937741479554,0.13866640073036005
classification,baseline_lstm_class_weighted_ce,billing,0,class_aware,32,440,208,0.6971153846153846,0.6012790346907994,0.5569767052119993,0.7308022831774219,0.5972422397519255,0.2,1.0,1.027277385809719,1.0,0.6012790346907994,0.4035155269046158,0.24695541745481583,0.11956708804193585
classification,baseline_lstm_balanced_softmax,billing,0,class_aware,32,440,208,0.7115384615384616,0.610102564102564,0.5667806267806267,0.7317045388165198,0.6018316117326018,0.2,1.0,0.9191709277555946,1.0,0.610102564102564,0.3617505751288602,0.21630513510451863,0.10839990709007193
classification,baseline_weighted_logistic,billing,0,class_aware,32,440,208,0.6298076923076923,0.6183589743589744,0.575954415954416,0.7698055152394774,0.5778095238095238,0.0,1.0,1.1503932638962593,1.0,0.6183589743589744,0.44251823062916035,0.27210980679291746,0.2480107991335457
classification,baseline_random_forest,billing,0,class_aware,32,440,208,0.7307692307692307,0.7058039215686274,0.673115468409586,0.8450879974631362,0.7036823774543353,0.0,1.0,1.0981777241334145,1.0,0.7058039215686274,0.31331286057692304,0.1570913461538463,0.19742816511243702
classification,baseline_gaussian_nb,billing,0,class_aware,32,440,208,0.3173076923076923,0.4807692307692307,0.423076923076923,0.4432414126753749,0.3625699503748284,0.4,1.0,18.6946570862249,1.0,0.4807692307692307,0.8784915526745531,0.6798453422517345,0.8244077165530986
classification,baseline_tabpfn,billing,0,class_aware,32,440,208,0.7596153846153846,0.6062564102564102,0.5625071225071224,0.7294103417854806,0.6130053846871967,0.2,1.0,0.5889527384949615,1.0,0.6062564102564102,0.23587178582891477,0.07575495817721352,0.08230408327087162
